http://txt.gt.tc/users/CNTV.txt

央卫1线,#genre#
CCTV13,http://kkk.888.3116598.xyz/api.php?n=tttt&id=cxWM1M&tk=tVegbWUIbUiV
CCTV14,http://kkk.888.3116598.xyz/api.php?n=tttt&id=1wZToW&tk=tVegbWUIbUiV
CCTV15,http://kkk.888.3116598.xyz/api.php?n=tttt&id=yUjNGc&tk=tVegbWUIbUiV
CCTV16,http://kkk.888.3116598.xyz/api.php?n=tttt&id=rtzqoI&tk=tVegbWUIbUiV
CCTV17,http://kkk.888.3116598.xyz/api.php?n=tttt&id=ivzpjW&tk=tVegbWUIbUiV
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=uzQ56T&tk=tVegbWUIbUiV
东方卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=yJurR0&tk=tVegbWUIbUiV
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=hd8enT&tk=tVegbWUIbUiV
广东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xK6xsM&tk=tVegbWUIbUiV
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=GJkWBO&tk=tVegbWUIbUiV
北京卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=81Piq5&tk=tVegbWUIbUiV
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=r63duA&tk=tVegbWUIbUiV
天津卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=5fMbkP&tk=tVegbWUIbUiV
山东卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2pXgwc&tk=tVegbWUIbUiV
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=oOJSIJ&tk=tVegbWUIbUiV
江西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=adxzRT&tk=tVegbWUIbUiV
黑龙江卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=iQ9vgj&tk=tVegbWUIbUiV
四川卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=2Rm2R2&tk=tVegbWUIbUiV
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=EhJcnh&tk=tVegbWUIbUiV
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=MzmPo4&tk=tVegbWUIbUiV
辽宁卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=PhOhX4&tk=tVegbWUIbUiV
广西卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Kaxsrz&tk=tVegbWUIbUiV
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=qG3n6m&tk=tVegbWUIbUiV
东南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=A53QDE&tk=tVegbWUIbUiV
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=xQrvht&tk=tVegbWUIbUiV
海南卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=4hDzi7&tk=tVegbWUIbUiV
